Timestamp_ms,CPU_Usage,Memory_MB
1739977627549,0.0,95.12
1739977627555,195.1,95.12
1739977627560,0.0,95.12
1739977627566,193.8,95.12
1739977627572,193.6,95.12
1739977627578,0.0,95.12
1739977627583,193.7,95.12
1739977627589,0.0,95.12
1739977627594,194.4,95.12
1739977627600,193.7,97.5
1739977627606,194.7,98.63
1739977627611,0.0,98.63
1739977627617,195.9,98.63
1739977627622,0.0,98.63
1739977627628,195.2,98.63
1739977627633,0.0,98.63
1739977627639,0.0,98.63
1739977627645,194.6,98.63
1739977627650,0.0,98.63
1739977627655,393.7,98.63
1739977627660,0.0,98.63
1739977627666,196.9,98.63
1739977627671,0.0,98.63
1739977627676,197.2,98.63
1739977627681,0.0,98.63
1739977627686,195.7,98.63
1739977627692,0.0,98.63
1739977627697,0.0,98.63
1739977627703,193.6,98.63
1739977627709,0.0,98.63
1739977627714,387.7,98.63
1739977627720,0.0,98.63
1739977627726,193.6,98.63
1739977627731,0.0,98.63
1739977627737,0.0,98.63
1739977627743,194.0,98.63
1739977627748,0.0,98.63
1739977627754,196.9,98.63
1739977627759,196.4,98.63
1739977627764,194.8,98.63
1739977627770,0.0,98.63
1739977627775,0.0,98.63
1739977627780,196.7,98.63
1739977627786,0.0,98.63
1739977627791,196.6,98.63
1739977627796,0.0,98.63
1739977627801,194.9,98.63
1739977627807,0.0,98.63
1739977627813,193.5,98.63
1739977627819,195.2,98.63
1739977627824,196.7,98.63
1739977627829,0.0,98.63
1739977627835,0.0,98.63
1739977627840,0.0,98.63
1739977627845,0.0,98.63
1739977627850,197.0,98.63
1739977627855,0.0,98.63
1739977627860,197.0,98.63
1739977627866,0.0,98.63
1739977627871,0.0,98.63
1739977627876,196.9,98.63
1739977627881,196.9,98.63
1739977627886,196.9,98.63
1739977627892,0.0,98.63
1739977627897,196.5,98.63
1739977627902,0.0,98.63
1739977627908,0.0,98.63
1739977627913,193.2,98.63
1739977627919,0.0,98.63
1739977627925,0.0,98.63
1739977627930,193.4,98.63
1739977627936,0.0,98.63
1739977627942,196.0,98.63
1739977627947,0.0,98.63
1739977627952,196.4,98.63
1739977627957,194.8,98.63
1739977627963,0.0,98.63
1739977627969,193.6,98.63
1739977627974,0.0,98.63
1739977627980,196.1,98.63
1739977627985,0.0,98.63
1739977627991,197.0,98.63
1739977627996,0.0,98.63
1739977628001,197.2,98.63
1739977628006,196.1,98.63
1739977628012,0.0,98.63
1739977628017,194.0,98.63
1739977628023,195.3,98.63
1739977628028,0.0,98.63
1739977628033,0.0,98.63
1739977628038,197.2,98.63
1739977628044,0.0,98.63
1739977628049,196.3,98.63
1739977628054,0.0,98.63
1739977628060,196.5,98.63
1739977628065,0.0,98.63
1739977628070,196.8,98.63
1739977628075,0.0,98.63
1739977628081,196.9,98.63
1739977628086,0.0,98.63
1739977628091,0.0,98.63
1739977628097,393.2,98.63
1739977628102,0.0,98.63
1739977628107,197.2,98.63
1739977628112,0.0,98.63
1739977628117,194.5,98.63
1739977628123,0.0,98.63
1739977628129,195.0,98.63
1739977628134,0.0,98.63
1739977628139,196.9,98.63
1739977628145,0.0,98.63
1739977628150,197.2,98.63
1739977628155,0.0,98.63
1739977628160,195.8,98.63
1739977628166,0.0,98.63
1739977628171,194.4,98.63
1739977628177,0.0,98.63
1739977628182,193.7,98.63
1739977628188,194.3,98.63
1739977628194,0.0,98.63
1739977628199,194.7,98.63
1739977628205,0.0,98.63
1739977628210,193.6,98.63
1739977628216,0.0,98.63
1739977628222,193.5,98.63
1739977628227,194.3,98.63
1739977628233,0.0,98.63
1739977628238,197.0,98.63
1739977628244,0.0,98.63
1739977628249,196.2,98.63
1739977628254,0.0,98.63
1739977628259,196.0,98.63
1739977628265,0.0,98.63
1739977628270,195.9,98.63
1739977628275,0.0,98.63
1739977628280,196.8,98.63
1739977628285,0.0,98.63
1739977628291,0.0,98.63
1739977628296,196.6,98.63
1739977628301,0.0,98.63
1739977628306,392.7,98.63
1739977628312,0.0,98.63
1739977628317,196.1,98.63
1739977628322,0.0,98.63
1739977628327,196.2,98.63
1739977628332,0.0,98.63
1739977628338,196.8,98.63
1739977628343,0.0,98.63
1739977628348,0.0,98.63
1739977628353,196.2,98.63
1739977628359,0.0,98.63
1739977628364,196.1,98.63
1739977628369,196.0,98.63
1739977628374,196.4,98.63
1739977628379,0.0,98.63
1739977628385,197.5,98.75
1739977628390,0.0,98.75
1739977628396,195.4,98.75
1739977628401,0.0,98.75
1739977628406,0.0,98.75
1739977628411,197.0,98.75
1739977628417,0.0,98.75
1739977628422,196.7,98.75
1739977628427,0.0,98.75
1739977628432,196.8,98.75
1739977628437,197.2,98.75
1739977628443,0.0,98.75
1739977628448,196.6,98.75
1739977628453,0.0,98.75
1739977628458,0.0,98.75
1739977628463,196.8,98.75
1739977628469,196.5,98.75
1739977628474,196.1,98.75
1739977628479,0.0,98.75
1739977628484,196.2,98.75
1739977628489,0.0,98.75
1739977628495,0.0,98.75
1739977628500,197.0,98.75
1739977628505,0.0,98.75
1739977628510,196.8,98.75
1739977628515,0.0,98.75
1739977628521,196.7,98.75
1739977628526,0.0,98.75
1739977628531,195.6,98.75
1739977628537,0.0,98.75
1739977628542,196.7,98.75
1739977628547,196.4,98.75
1739977628552,0.0,98.75
1739977628558,196.0,98.75
1739977628563,0.0,98.75
1739977628568,0.0,98.75
1739977628573,196.1,98.75
