Timestamp,Memory Usage
1736980322,1741896
1736980322,1771576
1736980322,1781184
1736980322,1770840
1736980322,1778760
1736980322,1782872
1736980322,1762960
1736980322,1778736
1736980322,1784208
1736980322,1786256
1736980322,1785920
1736980322,1777352
1736980322,1837240
1736980322,1871088
1736980322,1870752
1736980322,1861376
1736980322,1866816
1736980322,1867168
1736980322,1815128
1736980322,1826040
1736980322,1813696
1736980322,1904968
1736980322,1856976
1736980322,1808720
1736980322,1900960
1736980322,1811240
1736980322,1870184
1736980322,1855744
1736980322,1913680
1736980322,1899680
1736980322,1877784
1736980322,1856824
1736980322,1853200
1736980322,1851320
1736980322,1896480
1736980322,1929400
1736980322,1935696
1736980322,1915528
1736980322,1909376
1736980322,1898504
1736980322,1886832
1736980322,1861368
1736980322,1895960
1736980322,1844992
1736980322,1843992
1736980322,1896128
1736980322,1923064
1736980322,1889744
1736980322,1880904
1736980322,1952056
1736980322,1960600
1736980322,1962504
1736980322,1849320
1736980322,1974976
1736980322,2007312
1736980322,1944632
1736980322,1978256
1736980322,1911264
1736980322,1967072
1736980322,1967240
1736980322,1891880
1736980322,1902080
1736980322,1881256
1736980322,1895392
1736980322,1934040
1736980322,1922336
1736980322,1933320
1736980322,1949488
1736980322,1928984
1736980322,1924192
1736980322,1920960
1736980322,1985432
1736980322,1962800
1736980322,1940488
1736980322,1943064
1736980322,1958688
1736980322,1912416
1736980322,1926784
1736980322,1896192
1736980323,1889072
1736980323,1946656
1736980323,1993936
1736980323,1947064
1736980323,1987032
1736980323,1943920
1736980323,1898584
1736980323,1914024
1736980323,1953328
1736980323,1930320
1736980323,1908520
1736980323,1883992
1736980323,1902880
1736980323,1881472
1736980323,1947024
1736980323,1915128
1736980323,1922936
1736980323,1918496
1736980323,1925080
1736980323,1920416
1736980323,1932600
1736980323,1962808
1736980323,1942272
1736980323,1901304
1736980323,2001192
1736980323,1952480
1736980323,1949928
1736980323,2026096
1736980323,1903952
1736980323,1931976
1736980323,1907528
1736980323,1956568
1736980323,1910208
1736980323,1899000
1736980323,1931328
1736980323,1894520
1736980323,1906576
1736980323,1913176
1736980323,1944656
1736980323,1948584
1736980323,1908112
1736980323,1920184
1736980323,1926584
1736980323,2001472
1736980323,1972568
1736980323,2033488
1736980323,1990128
1736980323,1984720
1736980323,1956904
1736980323,1963064
1736980323,1986800
1736980323,1948144
1736980323,2019536
1736980323,1947080
1736980323,1940376
1736980323,1927408
1736980323,1968840
1736980323,1977096
1736980323,2007480
1736980323,1973840
1736980323,2026768
1736980323,2033640
1736980323,2047184
1736980323,2046728
1736980323,1972272
1736980323,1982384
1736980323,1992736
1736980323,1984576
1736980323,1973728
1736980323,1957960
1736980323,2003480
1736980323,1936048
1736980323,1955800
1736980323,1933024
1736980323,1997800
1736980323,2022112
1736980323,2007208
1736980323,2004288
1736980323,2021200
1736980323,2003520
1736980323,2028584
1736980323,1999648
1736980323,2007392
1736980323,1999544
1736980323,2010840
1736980323,2049096
1736980323,2042416
1736980323,1981944
1736980323,2020416
1736980323,2019256
1736980323,1978416
1736980323,2030056
1736980323,2005152
1736980323,2016872
1736980323,1998904
1736980323,2015960
1736980323,2020688
1736980323,1989696
1736980323,1968488
1736980323,1989712
1736980324,1977752
1736980324,1955368
1736980324,2005920
1736980324,1985576
1736980324,1983296
1736980324,1965272
1736980324,1992240
1736980324,1960184
1736980324,2089280
1736980324,2041088
1736980324,2047400
1736980324,2024240
1736980324,2033208
1736980324,1983648
1736980324,1988048
1736980324,1976648
1736980324,1974504
1736980324,1960016
1736980324,1975496
1736980324,1971480
1736980324,1992112
1736980324,1968440
1736980324,1965232
1736980324,1972264
1736980324,1993728
1736980324,1959992
1736980324,1971328
1736980324,2012664
1736980324,1981112
1736980324,1979616
1736980324,2091464
1736980324,2112256
1736980324,2005344
1736980324,2023552
1736980324,1989864
1736980324,2029912
1736980324,1987976
1736980324,1980560
1736980324,2045456
1736980324,2054064
1736980324,2052056
1736980324,2003704
1736980324,2039944
1736980324,2090392
1736980324,2069352
1736980324,2049712
1736980324,2063936
1736980324,2125696
1736980324,2095416
1736980324,2087112
1736980324,2066240
1736980324,2066304
1736980324,2080736
1736980324,2057848
1736980324,2050088
1736980324,1976896
1736980324,2052760
1736980324,2048640
1736980324,2046088
1736980324,2058384
1736980324,2079456
1736980324,2136656
1736980324,2101072
1736980324,2063912
1736980324,2110376
1736980324,2112784
1736980324,2082664
1736980324,2105152
1736980324,2094968
1736980324,2079528
1736980324,2101760
1736980324,2049504
1736980324,2060568
1736980324,2139520
1736980324,2109168
1736980324,2108496
1736980324,2066912
1736980324,2051208
1736980324,2132776
1736980324,2067008
1736980324,2062376
1736980324,2096064
1736980324,2133408
1736980324,2091000
1736980324,2102328
1736980324,2082408
1736980324,2084320
1736980324,2087600
1736980324,2070976
1736980324,2083528
1736980324,2064880
1736980324,2090056
1736980324,2099184
