Timestamp_ms,CPU_Usage,Memory_MB
1738864914186,0.0,1.62
1738864914191,0.0,1.62
1738864914197,0.0,1.62
1738864914202,0.0,1.62
1738864914207,0.0,1.62
1738864914213,0.0,1.62
1738864914218,0.0,1.62
1738864914223,0.0,1.62
1738864914228,0.0,1.62
1738864914233,0.0,1.62
1738864914238,0.0,1.62
1738864914244,0.0,1.62
1738864914249,0.0,1.62
1738864914255,0.0,1.62
1738864914260,0.0,1.62
1738864914265,0.0,1.62
1738864914271,0.0,1.62
1738864914276,0.0,1.62
1738864914282,0.0,1.62
1738864914288,0.0,1.62
1738864914293,0.0,1.62
1738864914298,0.0,1.62
1738864914304,0.0,1.62
1738864914309,0.0,1.62
1738864914315,0.0,1.62
1738864914321,0.0,1.62
1738864914327,0.0,1.62
1738864914332,0.0,1.62
1738864914338,0.0,1.62
1738864914344,0.0,1.62
1738864914349,0.0,1.62
1738864914355,0.0,1.62
1738864914360,0.0,1.62
1738864914366,0.0,1.62
1738864914371,0.0,1.62
1738864914376,0.0,1.62
1738864914382,0.0,1.62
1738864914387,0.0,1.62
1738864914392,0.0,1.62
1738864914397,0.0,1.62
1738864914402,0.0,1.62
1738864914408,0.0,1.62
1738864914413,0.0,1.62
1738864914419,0.0,1.62
1738864914425,0.0,1.62
1738864914430,0.0,1.62
1738864914436,0.0,1.62
1738864914441,0.0,1.62
1738864914447,0.0,1.62
1738864914453,0.0,1.62
1738864914458,0.0,1.62
1738864914464,0.0,1.62
1738864914469,0.0,1.62
1738864914475,0.0,1.62
1738864914481,0.0,1.62
1738864914486,0.0,1.62
1738864914492,0.0,1.62
1738864914498,0.0,1.62
1738864914503,0.0,1.62
1738864914509,0.0,1.62
1738864914514,0.0,1.62
1738864914520,0.0,1.62
1738864914526,0.0,1.62
1738864914531,0.0,1.62
1738864914537,0.0,1.62
1738864914543,0.0,1.62
1738864914548,0.0,1.62
1738864914553,0.0,1.62
1738864914559,0.0,1.62
1738864914564,0.0,1.62
1738864914569,0.0,1.62
1738864914574,0.0,1.62
1738864914579,0.0,1.62
1738864914584,0.0,1.62
1738864914589,0.0,1.62
1738864914594,0.0,1.62
1738864914600,0.0,1.62
1738864914605,0.0,1.62
1738864914610,0.0,1.62
1738864914616,0.0,1.62
1738864914621,0.0,1.62
1738864914627,0.0,1.62
1738864914633,0.0,1.62
1738864914638,0.0,1.62
1738864914644,0.0,1.62
1738864914650,0.0,1.62
1738864914655,0.0,1.62
1738864914660,0.0,1.62
1738864914666,0.0,1.62
1738864914672,0.0,1.62
1738864914677,0.0,1.62
1738864914682,0.0,1.62
1738864914687,0.0,1.62
1738864914693,0.0,1.62
1738864914698,0.0,1.62
1738864914704,0.0,1.62
1738864914709,0.0,1.62
1738864914714,0.0,1.62
1738864914720,0.0,1.62
1738864914726,0.0,1.62
1738864914731,0.0,1.62
1738864914737,0.0,1.62
1738864914742,0.0,1.62
1738864914748,0.0,1.62
1738864914753,0.0,1.62
1738864914759,0.0,1.62
1738864914765,0.0,1.62
1738864914770,0.0,1.62
1738864914776,0.0,1.62
1738864914781,0.0,1.62
1738864914787,0.0,1.62
1738864914793,0.0,1.62
1738864914798,0.0,1.62
1738864914804,0.0,1.62
1738864914810,0.0,1.62
1738864914815,0.0,1.62
1738864914821,0.0,1.62
1738864914826,0.0,1.62
1738864914832,0.0,1.62
1738864914838,0.0,1.62
1738864914844,0.0,1.62
1738864914849,0.0,1.62
1738864914855,0.0,1.62
1738864914861,0.0,1.62
1738864914866,0.0,1.62
1738864914872,0.0,1.62
1738864914878,0.0,1.62
1738864914883,0.0,1.62
