Timestamp_ms,CPU_Usage,Memory_MB
1739981373556,194.9,95.12
1739981373562,0.0,95.12
1739981373567,196.8,95.12
1739981373572,0.0,95.12
1739981373577,196.4,95.12
1739981373582,0.0,95.12
1739981373588,196.5,95.12
1739981373593,0.0,98.0
1739981373598,196.1,98.5
1739981373603,0.0,98.5
1739981373608,196.0,98.63
1739981373614,196.2,101.88
1739981373619,0.0,105.13
1739981373624,0.0,108.25
1739981373629,196.9,111.25
1739981373635,196.2,114.38
1739981373640,0.0,117.63
1739981373645,196.7,121.0
1739981373650,0.0,124.13
1739981373656,197.3,127.13
1739981373661,0.0,130.13
1739981373666,0.0,133.13
1739981373671,392.3,139.0
1739981373676,0.0,147.0
1739981373681,197.2,155.0
1739981373687,0.0,162.88
1739981373692,196.4,170.88
1739981373697,0.0,178.88
1739981373702,197.4,186.75
1739981373707,0.0,194.5
1739981373713,0.0,202.5
1739981373718,196.2,210.5
1739981373723,0.0,218.25
1739981373728,196.0,225.13
1739981373733,0.0,232.0
1739981373739,196.1,238.88
1739981373744,0.0,244.88
1739981373749,196.3,250.88
1739981373754,0.0,258.25
1739981373760,196.6,265.63
1739981373765,196.8,273.0
1739981373770,196.4,280.38
1739981373775,0.0,287.75
1739981373780,195.6,295.0
1739981373786,0.0,302.25
1739981373791,196.5,309.63
1739981373796,0.0,317.0
1739981373801,196.5,324.38
1739981373807,0.0,331.13
1739981373812,196.4,338.5
1739981373817,0.0,345.25
1739981373822,0.0,352.0
1739981373827,197.2,358.13
1739981373832,0.0,364.25
1739981373838,197.3,371.5
1739981373843,0.0,379.38
1739981373848,196.7,387.25
1739981373853,0.0,395.25
1739981373858,196.1,403.5
1739981373864,0.0,411.63
1739981373869,196.7,419.63
1739981373874,195.1,427.88
1739981373880,195.1,436.25
1739981373885,0.0,444.63
1739981373891,194.0,453.13
1739981373896,0.0,461.75
1739981373902,0.0,470.38
1739981373908,0.0,478.63
1739981373913,0.0,486.38
1739981373919,193.9,493.38
1739981373925,0.0,501.38
1739981373930,195.1,509.88
1739981373936,0.0,518.38
1739981373942,192.6,526.88
1739981373947,0.0,535.38
1739981373953,195.1,543.63
1739981373958,0.0,551.38
1739981373964,195.4,559.38
1739981373969,0.0,567.63
1739981373975,0.0,575.88
1739981373981,0.0,584.25
1739981373986,193.8,592.5
1739981373992,0.0,600.63
1739981373997,194.0,608.75
1739981374003,0.0,616.63
1739981374008,196.9,624.13
1739981374014,0.0,631.75
1739981374019,393.5,639.13
1739981374024,0.0,646.5
1739981374029,0.0,649.5
1739981374034,196.0,652.5
1739981374040,196.3,655.5
1739981374045,0.0,658.5
1739981374050,0.0,661.5
1739981374055,0.0,664.63
1739981374061,196.4,667.63
1739981374066,0.0,670.63
1739981374071,0.0,673.63
1739981374076,196.6,676.63
1739981374081,0.0,679.63
1739981374087,197.0,682.5
1739981374092,196.4,685.5
1739981374097,0.0,688.63
1739981374102,0.0,691.63
1739981374107,196.8,694.63
1739981374113,196.4,697.63
1739981374118,0.0,700.75
1739981374124,194.0,703.88
1739981374129,0.0,706.88
1739981374134,0.0,709.88
1739981374139,196.9,712.88
1739981374144,197.1,715.88
1739981374150,0.0,718.88
1739981374155,193.2,722.0
1739981374160,0.0,725.25
1739981374166,194.9,728.38
1739981374172,0.0,731.63
1739981374177,194.1,734.88
1739981374183,0.0,738.13
1739981374189,386.6,741.25
1739981374194,0.0,744.5
1739981374200,0.0,747.5
1739981374205,196.5,750.5
1739981374210,0.0,753.63
1739981374216,194.1,756.88
1739981374222,195.2,760.0
1739981374227,0.0,762.88
1739981374232,0.0,765.88
1739981374237,197.0,768.75
1739981374243,196.8,771.75
1739981374248,0.0,774.75
1739981374253,0.0,684.35
1739981374259,390.6,684.48
1739981374264,0.0,684.48
1739981374270,0.0,684.48
1739981374275,0.0,684.48
1739981374280,0.0,684.48
1739981374285,0.0,684.48
1739981374290,0.0,684.48
1739981374296,0.0,684.48
1739981374301,0.0,684.48
1739981374307,0.0,684.48
1739981374312,0.0,684.48
1739981374317,0.0,684.48
1739981374323,0.0,684.48
1739981374328,0.0,684.48
1739981374334,0.0,684.48
1739981374339,0.0,684.48
1739981374344,0.0,684.48
1739981374350,0.0,684.48
1739981374355,0.0,684.48
1739981374360,0.0,684.73
1739981374365,0.0,684.73
1739981374371,196.5,684.73
1739981374376,196.5,684.73
1739981374381,0.0,684.73
1739981374387,0.0,684.73
1739981374392,0.0,684.73
1739981374397,0.0,684.73
1739981374402,0.0,684.73
1739981374407,0.0,684.73
1739981374412,0.0,684.73
1739981374418,0.0,684.73
1739981374423,0.0,684.73
1739981374428,0.0,684.73
1739981374433,0.0,684.73
1739981374439,0.0,684.73
1739981374444,0.0,684.73
1739981374449,0.0,684.73
1739981374454,0.0,684.73
1739981374459,0.0,684.73
1739981374465,0.0,684.73
1739981374470,0.0,684.73
1739981374475,0.0,684.73
1739981374480,0.0,684.73
1739981374485,0.0,684.73
1739981374491,0.0,684.73
1739981374496,0.0,684.73
1739981374501,0.0,684.73
1739981374507,0.0,684.73
1739981374512,0.0,684.73
1739981374517,0.0,684.73
1739981374522,0.0,684.73
1739981374528,0.0,684.73
1739981374533,0.0,684.73
1739981374538,0.0,684.73
1739981374543,0.0,684.73
1739981374548,0.0,684.73
1739981374554,0.0,684.73
1739981374559,0.0,684.73
1739981374564,0.0,684.73
1739981374570,0.0,684.73
1739981374575,0.0,684.73
1739981374581,0.0,684.73
1739981374586,0.0,684.73
1739981374592,0.0,684.73
1739981374598,0.0,684.73
1739981374603,0.0,684.73
1739981374609,0.0,684.73
1739981374614,0.0,684.73
1739981374619,0.0,684.73
1739981374625,0.0,684.73
1739981374630,0.0,684.73
1739981374635,0.0,684.73
1739981374640,0.0,684.73
1739981374646,0.0,684.73
1739981374651,0.0,684.73
1739981374656,0.0,684.73
1739981374661,0.0,684.73
1739981374667,0.0,684.73
1739981374672,0.0,684.73
1739981374677,0.0,684.73
1739981374682,0.0,684.73
1739981374688,0.0,684.73
1739981374693,0.0,684.73
1739981374698,0.0,684.73
1739981374703,0.0,684.73
1739981374708,0.0,684.73
1739981374714,0.0,684.73
1739981374719,0.0,684.73
1739981374724,0.0,684.73
1739981374729,0.0,684.73
1739981374735,0.0,684.73
1739981374740,0.0,684.73
1739981374745,0.0,684.73
1739981374750,0.0,684.73
1739981374756,0.0,684.73
1739981374761,0.0,684.73
1739981374766,0.0,684.73
1739981374771,0.0,684.73
1739981374776,0.0,684.73
1739981374781,0.0,684.73
1739981374787,0.0,684.73
1739981374792,0.0,684.73
1739981374797,0.0,684.73
1739981374802,0.0,684.73
1739981374807,0.0,684.73
1739981374813,0.0,684.73
1739981374818,0.0,684.73
1739981374823,0.0,684.73
