156,1738580085655075786,1738580085655650073
157,1738580085655442243,1738580085656002575
158,1738580085655848002,1738580085656397240
159,1738580085656204757,1738580085657237927
160,1738580085656641630,1738580085658293978
161,1738580085657562049,1738580085658977476
162,1738580085658573024,1738580085659351049
163,1738580085659240045,1738580085660132220
164,1738580085659951192,1738580085660568148
165,1738580085660380338,1738580085660941570
166,1738580085660813608,1738580085661331648
167,1738580085661205913,1738580085661733757
168,1738580085661563932,1738580085662275794
169,1738580085662144949,1738580085663402171
170,1738580085662602622,1738580085663837888
171,1738580085663699594,1738580085664264597
172,1738580085664127047,1738580085664635114
173,1738580085664524803,1738580085665018607
174,1738580085664975833,1738580085665472718
175,1738580085665322850,1738580085665828187
176,1738580085665724151,1738580085666223349
177,1738580085666068105,1738580085666589452
178,1738580085666473682,1738580085667360381
179,1738580085666835027,1738580085667988711
180,1738580085667595844,1738580085668423524
181,1738580085668299159,1738580085668775174
182,1738580085668673191,1738580085669322972
183,1738580085669061255,1738580085669735848
184,1738580085669597714,1738580085670088360
185,1738580085669989140,1738580085670510293
186,1738580085670354125,1738580085670924875
187,1738580085670839217,1738580085672126065
188,1738580085671237389,1738580085672583309
189,1738580085672465244,1738580085673017228
190,1738580085672764728,1738580085673540065
191,1738580085673285926,1738580085674002321
192,1738580085673791260,1738580085674403122
193,1738580085674260267,1738580085674861387
194,1738580085674660832,1738580085675428014
195,1738580085675063299,1738580085675887160
196,1738580085675666660,1738580085676351036
197,1738580085676107905,1738580085677140941
198,1738580085676557547,1738580085677742087
199,1738580085677585674,1738580085678341681
200,1738580085678185726,1738580085679146717
201,1738580085678637114,1738580085679608100
202,1738580085679430093,1738580085680027520
203,1738580085679872540,1738580085680348272
204,1738580085680176828,1738580085680699019
205,1738580085680550695,1738580085681126619
206,1738580085680908201,1738580085681863232
207,1738580085681383093,1738580085682470712
208,1738580085682290060,1738580085682835423
209,1738580085682722742,1738580085683319316
210,1738580085683043409,1738580085683685294
211,1738580085683535388,1738580085684078009
212,1738580085683886388,1738580085684439443
213,1738580085684370517,1738580085684804365
214,1738580085684640310,1738580085685131946
215,1738580085685024472,1738580085685403702
216,1738580085685271327,1738580085686454495
217,1738580085685612668,1738580085686843092
218,1738580085686698343,1738580085687328884
219,1738580085687033433,1738580085687694657
220,1738580085687540725,1738580085688283891
221,1738580085687947285,1738580085688748682
222,1738580085688515407,1738580085689179174
223,1738580085689030769,1738580085689638624
224,1738580085689384633,1738580085690732623
225,1738580085689846672,1738580085691172686
226,1738580085691062019,1738580085691773161
227,1738580085691443510,1738580085692187282
228,1738580085691976928,1738580085692604024
229,1738580085692384060,1738580085692978795
230,1738580085692800898,1738580085693495961
231,1738580085693194002,1738580085693908922
